# time luminosity u_luminosity radius u_radius
-9.171676091005792841e+00 6.751503809234799213e+35 1.858876196201745494e+34 1.008272634397151065e+06 6.079464186347836119e+01
-8.851756382384337485e+00 6.948278450828665563e+35 1.966842045502064781e+34 1.008279327651064144e+06 6.137952313673986993e+01
-8.729571652162121609e+00 7.033200404524952029e+35 2.018496744893781102e+34 1.008282295668440405e+06 6.162908574967221398e+01
-8.626945832656929269e+00 7.109695025169864667e+35 2.064449858590727108e+34 1.008285040753563633e+06 6.183910337433793813e+01
-8.477157162909861654e+00 7.231032322858404442e+35 2.145276504026619166e+34 1.008289542621834669e+06 6.222864492347217436e+01
-8.345594616548623890e+00 7.348841408157222647e+35 2.220846178959221669e+34 1.008294165065710433e+06 6.269283370162578706e+01
-8.249399396969238296e+00 7.443232482246597848e+35 2.284699262673015451e+34 1.008298066735375440e+06 6.314588878774706870e+01
-8.167543887451756746e+00 7.530183050975187624e+35 2.344244946370103918e+34 1.008301912622165750e+06 6.369764224043279199e+01
-8.161077771073905751e+00 7.537372721579742531e+35 2.349263459578087502e+34 1.008302243006772245e+06 6.375307121948070943e+01
-8.148210199462482706e+00 7.551708681128348036e+35 2.359828718886280919e+34 1.008302913232351304e+06 6.386733328599041926e+01
-8.122603731957497075e+00 7.580544068047818892e+35 2.381441570337180212e+34 1.008304330427873414e+06 6.414283390634213333e+01
-8.117508044932037592e+00 7.586446546480677004e+35 2.386083978631577256e+34 1.008304625920097227e+06 6.420867970864641450e+01
-8.107367627730127424e+00 7.597255011386721153e+35 2.401541569115099430e+34 1.008305227082736674e+06 6.434515440505879269e+01
-8.087188197503564879e+00 7.617912982817319673e+35 2.434080460239297181e+34 1.008306480733379722e+06 6.465887372491749829e+01
-8.071592622873140499e+00 7.640868692775784967e+35 2.425430777252322829e+34 1.008307508912252611e+06 6.493274330178596188e+01
-8.067705295863561332e+00 7.645669143727096066e+35 2.430821064405766192e+34 1.008307777054695995e+06 6.500668086852355998e+01
-8.067674817604711279e+00 7.645567343357015111e+35 2.429137410978190713e+34 1.008307779347599833e+06 6.500721723847705391e+01
-8.067645547300344333e+00 7.645603133155402845e+35 2.429161967939738728e+34 1.008307781681425055e+06 6.500769518316046458e+01
-8.067622794624185190e+00 7.645630952643729874e+35 2.429181045300180261e+34 1.008307783559261821e+06 6.500804877767183143e+01
-8.067599314061226323e+00 7.645659656937816147e+35 2.429200670244557768e+34 1.008307785513581010e+06 6.500840910805720796e+01
-8.067570860206615180e+00 7.645694447800713541e+35 2.429224536371510992e+34 1.008307787892813561e+06 6.500884273820612691e+01
-8.067539478361140937e+00 7.645732821623394067e+35 2.429250894295176176e+34 1.008307790561147034e+06 6.500930862475499339e+01
-8.067511926026782021e+00 7.645766511214960430e+35 2.429274018264358534e+34 1.008307792954765609e+06 6.500970343933344964e+01
-8.067487341439118609e+00 7.645796567612921426e+35 2.429294598501439085e+34 1.008307795110444073e+06 6.501005023292869112e+01
-8.067463390703778714e+00 7.645825851377678339e+35 2.429314676688224669e+34 1.008307797232737299e+06 6.501038194461121122e+01
-8.067440647399052978e+00 7.645853656521008471e+35 2.429333714607539275e+34 1.008307799255575868e+06 6.501069491171674031e+01
-8.067416954785585403e+00 7.645882635245680064e+35 2.429353843243893112e+34 1.008307801361566177e+06 6.501102113167063123e+01
-8.067390957294264808e+00 7.645914513031529512e+35 2.429377950155143420e+34 1.008307803682339611e+06 6.501137657857189822e+01
-8.067362593603320420e+00 7.645949287557841305e+35 2.429404216279478622e+34 1.008307806199681712e+06 6.501176917620418294e+01
-8.067326609278097749e+00 7.645993407239957732e+35 2.429437565959041253e+34 1.008307809345841641e+06 6.501228075454848465e+01
-8.067287726240465418e+00 7.646041083499008109e+35 2.429473634187696295e+34 1.008307812678375514e+06 6.501285251034535406e+01
-8.067256547277793288e+00 7.646079314411804914e+35 2.429502568851879897e+34 1.008307815292858868e+06 6.501332725408570923e+01
-8.067228524188976735e+00 7.646113676693169645e+35 2.429528588071878626e+34 1.008307817581000389e+06 6.501377125808576807e+01
-8.067200747260358185e+00 7.646147740018272320e+35 2.429554414686043960e+34 1.008307819789804984e+06 6.501422795255717801e+01
-8.067171121161663905e+00 7.646184073025047333e+35 2.429581985951893272e+34 1.008307822088512126e+06 6.501473103918598895e+01
-8.067137872072635219e+00 7.646224850469898461e+35 2.429612945176194170e+34 1.008307824609518982e+06 6.501531209323339056e+01
-8.067097903782268986e+00 7.646273870018179721e+35 2.429650180694948898e+34 1.008307827580788289e+06 6.501602712063979084e+01
-8.067045503965346143e+00 7.646338137249924021e+35 2.429699010861616183e+34 1.008307831406560610e+06 6.501698402222842788e+01
-8.066963263467187062e+00 7.646439004944853365e+35 2.429775672218575981e+34 1.008307837327165063e+06 6.501850933939806509e+01
-8.066799604886909947e+00 7.646639732992489988e+35 2.429928262237739784e+34 1.008307849019554211e+06 6.502157002939314623e+01
-8.066473924322053790e+00 7.647039184272296190e+35 2.430232015755108707e+34 1.008307872312949621e+06 6.502765501754193167e+01
-8.065825820027384907e+00 7.647834101517875426e+35 2.430836871626195119e+34 1.008307918969886145e+06 6.503968528563351015e+01
-8.064734145707916468e+00 7.649177824973231514e+35 2.431914556304226533e+34 1.008307996970844222e+06 6.506012863964410542e+01
-8.063310521771200001e+00 7.651143234244107781e+35 2.436624024995252206e+34 1.008308098482600879e+06 6.508773677096813515e+01
-8.061750205961288884e+00 7.652792370179996440e+35 2.435650545726083327e+34 1.008308209799208213e+06 6.511841799695679356e+01
-8.059889360418310389e+00 7.655065492830619196e+35 2.438390291537016679e+34 1.008308342726623989e+06 6.515577774795855248e+01
-8.057465213409159333e+00 7.657899675430800882e+35 2.440718604351275267e+34 1.008308516249704408e+06 6.520566975414115518e+01
-8.054364224895834923e+00 7.661576089682676302e+35 2.444394110298018589e+34 1.008308739637908293e+06 6.527189722864424937e+01
-8.050176293501863256e+00 7.666706627257263176e+35 2.449141186819879009e+34 1.008309044531880645e+06 6.536553359603620095e+01
-8.044317275693174452e+00 7.673958899327002389e+35 2.455447408100416899e+34 1.008309493362208013e+06 6.552318006540151885e+01
-8.036127509287325665e+00 7.684295725359172176e+35 2.464855223697662321e+34 1.008310118938554311e+06 6.572289998910351017e+01
-8.024366894678678364e+00 7.699377084133978553e+35 2.479423800001628065e+34 1.008311041192433331e+06 6.602163437944453506e+01
-8.007337627117522061e+00 7.725158423536365810e+35 2.513762728144937759e+34 1.008312458332288195e+06 6.649432678340107827e+01
-7.982104514376260340e+00 7.753875684223538868e+35 2.525126652585193137e+34 1.008314759953428875e+06 6.733115264940778388e+01
-7.961507664876990020e+00 7.776379774852263198e+35 2.598036926706509173e+34 1.008316770944257383e+06 6.802511527809292602e+01
-7.943581309373257682e+00 7.809693503685093130e+35 2.559388465431503537e+34 1.008318646860304405e+06 6.864716324923962532e+01
-7.928890816663624719e+00 7.842067776182773154e+35 2.684126655915863270e+34 1.008320316034723422e+06 6.914833654609775238e+01
-7.915757820883300155e+00 7.892436788276335370e+35 3.503534517869931418e+34 1.008321938779713819e+06 6.963743267600156628e+01
-7.903149447811301798e+00 7.946967222744494720e+35 5.178304647604623257e+34 1.008323538193481392e+06 7.011696783809134104e+01
-7.889351251709740609e+00 8.019583061106020423e+35 7.574166474888824141e+34 1.008325344512155512e+06 7.065475521410019155e+01
-7.870321186346700415e+00 8.171434665351853065e+35 1.343270109649993217e+35 1.008327973261554027e+06 7.143255878533463488e+01
-7.851114076736848801e+00 8.330928013572562286e+35 1.956963188344071400e+35 1.008330790305378148e+06 7.224317748442426534e+01
-7.831192280194954947e+00 8.578489195551679690e+35 2.883091737602940882e+35 1.008333924793159124e+06 7.308980213576113272e+01
-7.812587787077063695e+00 9.034823786760493034e+35 4.692946700894264551e+35 1.008337018996409606e+06 7.389991215104063826e+01
-7.795427544566337019e+00 9.303042179080007757e+35 5.401561250181301853e+35 1.008340088316899724e+06 7.456398037136544588e+01
