# time luminosity u_luminosity radius u_radius
-1.488398546005555545e+00 4.300613216196823570e+36 1.204832430128242090e+35 6.379719293568525463e+05 4.815556964277039515e+05
-1.488277115679011331e+00 4.300923773475682908e+36 1.204907774625016830e+35 6.379719329229835421e+05 4.815556990756621235e+05
-1.488144786077100434e+00 4.301262209864055691e+36 1.204990073060772633e+35 6.379719368092010263e+05 4.815557019612941076e+05
-1.487999291208325303e+00 4.301634322010415769e+36 1.205080789917583686e+35 6.379719410820523044e+05 4.815557051340133185e+05
-1.487835020159764099e+00 4.302054461011466525e+36 1.205183497565075039e+35 6.379719459063169779e+05 4.815557087161733652e+05
-1.487643391574238194e+00 4.302544576109810939e+36 1.205303683893262591e+35 6.379719515340097714e+05 4.815557128949026810e+05
-1.487418045120648458e+00 4.303120940465897114e+36 1.205445547843293051e+35 6.379719581519194180e+05 4.815557178088973742e+05
-1.487124699940977735e+00 4.303871233587449918e+36 1.205631020259588074e+35 6.379719667667954927e+05 4.815557242056993418e+05
-1.486705610468561645e+00 4.304943169493267057e+36 1.205897604490731611e+35 6.379719790744943311e+05 4.815557333445316181e+05
-1.485997933328690124e+00 4.306753312493532406e+36 1.206352042319281329e+35 6.379719998573517660e+05 4.815557487764215912e+05
-1.484589655819945619e+00 4.310358573040819218e+36 1.207257704788520228e+35 6.379720412694558036e+05 4.815557795275694807e+05
-1.482379439336000360e+00 4.316084121189072642e+36 1.208373181650829106e+35 6.379721075453510275e+05 4.815558287754128687e+05
-1.479178118119307328e+00 4.324374458477281178e+36 1.210053495939087883e+35 6.379722035406671930e+05 4.815559001069625956e+05
-1.474809215180357569e+00 4.335782887563669872e+36 1.211756004665729711e+35 6.379723363574794494e+05 4.815559988460025634e+05
-1.469697413876929204e+00 4.349122761101305906e+36 1.213441773974737470e+35 6.379724924341604346e+05 4.815561148940428393e+05
-1.464083231123368023e+00 4.363680875606194069e+36 1.215112771228551055e+35 6.379726638498629909e+05 4.815562423471407965e+05
-1.457771494859116501e+00 4.379901564350307435e+36 1.216868784618577216e+35 6.379728565637009451e+05 4.815563856360901846e+05
-1.450473726095879101e+00 4.398609910661555422e+36 1.220979548246482406e+35 6.379730814683868084e+05 4.815565529121842119e+05
-1.441798358524465584e+00 4.421231543194414632e+36 1.224629237066760899e+35 6.379733508951606927e+05 4.815567533535078983e+05
-1.431184891796874581e+00 4.449083697518004583e+36 1.231754316220930812e+35 6.379736829569835681e+05 4.815570004524245160e+05
