# time (s)    L (erg/s)   R_phot (cm)
1.000000000000000048E-04 -9.10312308489480E+25  1.00768610703524E+06
1.875083658259971749E-04 -9.10312308489480E+25  1.00768771502227E+06
2.004350867191362947E-04 -9.10312308489480E+25  1.00768783325851E+06
2.261592612964831222E-04  2.27130870912450E+24  1.00768794592112E+06
2.773503687054033320E-04  2.27130870912450E+24  1.00768804181123E+06
3.792206724491545104E-04  2.27130870912450E+24  1.00768811712189E+06
5.819425768992193739E-04  2.27130870912450E+24  1.00768817487737E+06
9.853591667548485325E-04  2.27130870912450E+24  1.00768822075288E+06
1.788158180567550257E-03  2.27130870912450E+24  1.00768826132611E+06
3.385728218054826974E-03  2.34652699717435E+24  1.00768830477039E+06
6.564892592654508058E-03  3.00086277608252E+26  1.00768836309902E+06
1.289142969810787298E-02  4.01903411086752E+27  1.00768845398502E+06
2.501069021367603035E-02  4.75578028410623E+28  1.00768859320775E+06
3.889781266944637717E-02  1.93030141977418E+29  1.00768872442793E+06
5.477450494566557526E-02  5.66205068680742E+29  1.00768884860720E+06
7.303552081184738753E-02  1.40295335746329E+30  1.00768896714865E+06
9.422305969531080683E-02  3.13480879198670E+30  1.00768908154642E+06
1.191058240490739939E-01  6.54958492465470E+30  1.00768919353045E+06
1.487960525846483140E-01  1.31003682418144E+31  1.00768930517180E+06
1.849955452191270888E-01  2.55415081398021E+31  1.00768941920415E+06
2.304213064967539082E-01  4.92885793992676E+31  1.00768953942994E+06
2.895969513803672846E-01  9.54156901867532E+31  1.00768967141327E+06
3.705163667035572539E-01  1.87454256379084E+32  1.00768982389144E+06
4.880390847607157800E-01  3.75942723153697E+32  1.00769001107282E+06
6.708357759819013610E-01  7.62518617557739E+32  1.00769025610629E+06
9.208158470056857503E-01  1.37284185088337E+33  1.00769054158926E+06
1.236416963472590558E+00  2.15050056345165E+33  1.00769085350158E+06
1.648742877923985439E+00  3.05299525880881E+33  1.00769120846120E+06
2.206760488554291300E+00  3.99825661500199E+33  1.00769162741194E+06
2.990700815550181524E+00  4.86939728473935E+33  1.00769213971226E+06
4.141983519298173988E+00  5.53813140827690E+33  1.00769279718725E+06
5.720180073577599167E+00  5.88610449304986E+33  1.00769364764589E+06
7.814784157871327963E+00  5.94170622634384E+33  1.00769475512756E+06
9.965513036314971984E+00  5.83967189605372E+33  1.00769588477360E+06
1.218760739540409688E+01  5.67900201802634E+33  1.00769703983257E+06
1.449849860882741659E+01  5.49987583380764E+33  1.00769822370856E+06
1.692027176476031514E+01  5.31815642722137E+33  1.00769944087919E+06
1.948058385236807766E+01  5.13972719278671E+33  1.00770069678510E+06
2.221294279531733906E+01  4.96636662880538E+33  1.00770199718456E+06
2.515880776714237399E+01  4.79805699801330E+33  1.00770334803732E+06
