# time (s)    L (erg/s)   R_phot (cm)
1.387000657934675019E+03  2.51772464611279E+34  1.00779911494888E+06
1.406975146484355719E+03  2.53187584400814E+34  1.00778841480751E+06
1.431038907561105134E+03  2.54587760501293E+34  1.00777693553746E+06
1.457665422441086548E+03  2.55932492468645E+34  1.00776565628497E+06
1.460637893881546233E+03  2.78067656993243E+34  1.00788945915054E+06
1.462353228422973643E+03  2.74339931061130E+34  1.00788916382633E+06
1.465766744160414191E+03  2.67556700630520E+34  1.00788743124568E+06
1.472559640477920993E+03  2.61848917116563E+34  1.00788147606680E+06
1.483113330044299119E+03  2.61658864289392E+34  1.00787084920261E+06
1.494266213669280660E+03  2.64393737390104E+34  1.00785998720088E+06
1.506974915665027765E+03  2.67760874794780E+34  1.00784856707229E+06
1.520709763904419788E+03  2.70800576736360E+34  1.00783739686243E+06
1.535302099764595368E+03  2.73299531410328E+34  1.00782670695153E+06
1.551047147584097502E+03  2.75366308587464E+34  1.00781631241895E+06
1.568577371703159088E+03  2.77140009109642E+34  1.00780588997063E+06
1.589544002584416830E+03  2.78785203766846E+34  1.00779472285456E+06
1.613890822071073217E+03  2.80318465010127E+34  1.00778318757651E+06
1.640924337638329689E+03  2.81746713562264E+34  1.00777180043430E+06
1.643941174555043972E+03  3.03760464037824E+34  1.00789765239124E+06
1.645614764013407921E+03  2.99445773548131E+34  1.00789750276839E+06
1.648945207035552357E+03  2.91593029964382E+34  1.00789597440662E+06
1.655572788649619497E+03  2.84777424544494E+34  1.00789025327200E+06
1.665745727487588738E+03  2.84242813260605E+34  1.00787995209374E+06
1.676536692917338996E+03  2.87232086360839E+34  1.00786928944659E+06
1.689091856190453655E+03  2.91106725875086E+34  1.00785780792808E+06
1.701984544855117292E+03  2.94538270403151E+34  1.00784710177484E+06
1.715536456845899465E+03  2.97349119583550E+34  1.00783689997226E+06
1.730121630243789468E+03  2.99669240550730E+34  1.00782694249195E+06
1.746430649688015592E+03  3.01661118821129E+34  1.00781685745227E+06
1.766029921621840685E+03  3.03489932947116E+34  1.00780594768514E+06
1.789640406288035820E+03  3.05195478712110E+34  1.00779423475464E+06
1.815761704960823636E+03  3.06750700093323E+34  1.00778271486094E+06
1.818676530970724116E+03  3.27938963134381E+34  1.00790766390220E+06
1.820447878606461927E+03  3.23428183581182E+34  1.00790738705893E+06
1.823972860401580419E+03  3.15297227011672E+34  1.00790543368052E+06
1.830987574173866051E+03  3.08775243995326E+34  1.00789883697761E+06
1.840534553328944867E+03  3.08689400774894E+34  1.00788878111262E+06
1.851143093979211017E+03  3.11877856544329E+34  1.00787799162337E+06
1.862663444332278914E+03  3.15702442554767E+34  1.00786718014650E+06
1.874285364247367397E+03  3.19054314325079E+34  1.00785722290820E+06
