# time (s)    L (erg/s)   R_phot (cm)
1.000000000000000048E-04  1.29727092884902E+35  1.00769469156299E+06
2.231743303080465680E-04  1.81764652549497E+38  1.00769592696874E+06
2.356807325718016078E-04  1.44618415670178E+37  1.00769597375074E+06
2.605684730766741103E-04  3.47104425656440E+36  1.00769600603827E+06
3.100950766813704326E-04  1.45246542662591E+36  1.00769602785483E+06
4.086530178547161107E-04  9.25474029186064E+35  1.00769604278025E+06
6.047833207896740259E-04  7.70309931735343E+35  1.00769605354652E+06
9.950826236302403281E-04  7.12516138806299E+35  1.00769606209103E+06
1.771778236282967045E-03  6.63355285892757E+35  1.00769606976801E+06
3.317402505461893372E-03  5.90712204911225E+35  1.00769607713828E+06
6.331415962383021324E-03  5.03106933445299E+35  1.00769608667777E+06
9.764291169734842096E-03  4.17577945422055E+35  1.00769609155570E+06
1.365390803190037229E-02  3.45263409187356E+35  1.00769609167097E+06
1.807521051986984983E-02  2.85744160279646E+35  1.00769608701447E+06
2.312872138032801700E-02  2.36801377258293E+35  1.00769607734378E+06
2.894869974467253332E-02  1.96516151130669E+35  1.00769606218003E+06
3.572078603530924601E-02  1.63340961666571E+35  1.00769604075022E+06
4.371417443071359821E-02  1.36015575403091E+35  1.00769601184149E+06
5.333438118306449427E-02  1.13506162454557E+35  1.00769597353709E+06
6.521553817686474852E-02  9.49790860876223E+34  1.00769592274554E+06
8.041062488061086200E-02  7.97431220331144E+34  1.00769585423458E+06
1.007733497042003351E-01  6.71965066016600E+34  1.00769575866643E+06
1.297460119155106617E-01  5.67876493131199E+34  1.00769561852533E+06
1.740497527860099813E-01  4.79330943550154E+34  1.00769539940438E+06
2.456181422832875993E-01  4.01168622165863E+34  1.00769504011155E+06
3.308958901217171067E-01  3.45561914887403E+34  1.00769461130967E+06
4.355741290554059342E-01  3.03040561818434E+34  1.00769408994095E+06
5.681926371667653797E-01  2.64068581298619E+34  1.00769343228138E+06
7.414895891741754008E-01  2.30053582241004E+34  1.00769258193715E+06
9.751414485394449549E-01  2.00139604208179E+34  1.00769145685516E+06
1.300626478170957334E+00  1.73546324806552E+34  1.00768993536154E+06
1.765517295341941795E+00  1.49837688151559E+34  1.00768785577829E+06
2.379960863730393950E+00  1.30116674449442E+34  1.00768526481741E+06
3.129505127175757906E+00  1.14465858801277E+34  1.00768231872139E+06
3.938034261066349462E+00  1.02800343709927E+34  1.00767936631490E+06
4.818707575974478630E+00  9.36558335491775E+33  1.00767637762408E+06
5.777999898364167386E+00  8.64597697850662E+33  1.00767335327053E+06
6.823557627477209842E+00  8.07227470769508E+33  1.00767028992671E+06
7.963783781364715431E+00  7.70858982804188E+33  1.00766718599127E+06
9.208134722797980842E+00  7.49406406981083E+33  1.00766403570351E+06
1.056770757771430702E+01  7.20808886624663E+33  1.00766082780752E+06
1.205634775107692924E+01  6.91302053029112E+33  1.00765754636996E+06
1.369276698123881886E+01  6.62538984124188E+33  1.00765416752538E+06
1.550460465322831460E+01  6.34959491087379E+33  1.00765065391899E+06
1.753523395653437689E+01  6.08606083134134E+33  1.00764694657616E+06
1.985528428597700668E+01  5.52776910399726E+33  1.00770311804427E+06
2.132859338825010909E+01  5.39357295317934E+33  1.00769636371282E+06
2.265139112061196158E+01  5.27892578720273E+33  1.00769101177043E+06
2.421022256842724474E+01  5.14931841409099E+33  1.00768537448438E+06
2.606207511602428895E+01  5.00237432432743E+33  1.00767939481429E+06
2.830743516885730315E+01  4.83752285382675E+33  1.00767293286502E+06
3.091445250437377368E+01  4.66962685697328E+33  1.00766624230423E+06
3.383146307528077301E+01  4.51731420904188E+33  1.00765953696518E+06
3.709932158880604902E+01  4.16788190361140E+33  1.00771293086728E+06
3.886086428611476151E+01  4.09434003674535E+33  1.00770449817700E+06
4.057530380674778314E+01  4.02010010308241E+33  1.00769732774327E+06
