# time (s)    L (erg/s)   R_phot (cm)
1.000000000000000048E-04  8.00000189377932E+34  1.00795756493860E+06
2.990000000000000036E-04  8.00000565651087E+34  1.00795756370749E+06
6.950100000000000288E-04  8.00001315678540E+34  1.00795756125743E+06
1.483069900000000144E-03  8.00002806721033E+34  1.00795755638085E+06
3.051309101000000343E-03  8.00005776601209E+34  1.00795754667265E+06
6.172105110990000823E-03  8.00011692529277E+34  1.00795752733847E+06
1.238248917087010278E-02  8.00023491930276E+34  1.00795748880696E+06
2.474115345003150349E-02  8.00047059615795E+34  1.00795741190977E+06
4.933489536556269484E-02  8.00094245439097E+34  1.00795725805372E+06
9.827644177746976129E-02  8.00188047210667E+34  1.00795694887033E+06
1.956701191371648108E-01  8.00365274998811E+34  1.00795632346875E+06
3.894835370829580201E-01  8.00659193944336E+34  1.00795504900357E+06
7.751722387950864546E-01  8.01115612835659E+34  1.00795244006026E+06
1.542692755202222044E+00  8.02054564731400E+34  1.00794711816017E+06
3.032794066880287076E+00  8.04301580338962E+34  1.00793678928905E+06
5.530029084945487838E+00  8.08278500428351E+34  1.00792056736583E+06
8.075227896269563388E+00  8.12116686416711E+34  1.00790585068648E+06
1.082699643305499215E+01  8.15903986271491E+34  1.00789183565780E+06
1.383490429068060834E+01  8.19637447339148E+34  1.00787839987483E+06
1.714610039832607313E+01  8.23318122499310E+34  1.00786543907882E+06
2.080446496368973897E+01  8.26941418592473E+34  1.00785288621417E+06
2.485616238541624057E+01  8.30506941603979E+34  1.00784068690565E+06
2.935126144736603138E+01  8.34021879789534E+34  1.00782879373331E+06
3.434464506892463476E+01  8.37498308908190E+34  1.00781716778207E+06
3.989801755364669589E+01  8.40953151182426E+34  1.00780577188751E+06
4.608003451301625120E+01  8.36986423149972E+34  1.00792163759516E+06
4.917599526682638356E+01  8.37631466603918E+34  1.00790832902931E+06
5.258649848976109809E+01  8.38814672584342E+34  1.00789441119631E+06
5.612291277283448920E+01  8.40667707770795E+34  1.00788123471903E+06
5.992501204734247722E+01  8.43059546948933E+34  1.00786846953041E+06
6.406767355985564905E+01  8.45789369875043E+34  1.00785601885425E+06
6.861409858504536885E+01  8.48694861344278E+34  1.00784383288262E+06
7.362594535815873087E+01  8.51671521646198E+34  1.00783187991912E+06
7.916872334680029155E+01  8.57598193867939E+34  1.00794225005001E+06
8.163422756251378587E+01  8.55777072964716E+34  1.00793020341275E+06
8.479512938081059303E+01  8.55085036859672E+34  1.00791568161660E+06
8.807122238710023510E+01  8.55572634542012E+34  1.00790208330366E+06
9.161292451748306576E+01  8.56878152323916E+34  1.00788892712509E+06
9.548482907160899913E+01  8.58705963142291E+34  1.00787610719964E+06
9.974340128619266466E+01  8.60840480814055E+34  1.00786356249743E+06
1.044442834692721789E+02  8.63138459600336E+34  1.00785125181104E+06
1.096460982966782467E+02  8.65520838435237E+34  1.00783914598756E+06
1.154138782490383051E+02  8.64779544749474E+34  1.00795193001851E+06
1.181190225857370422E+02  8.63018810275110E+34  1.00793908084816E+06
1.213553790099360299E+02  8.62390758465894E+34  1.00792457916538E+06
1.247073966068480217E+02  8.62978597354584E+34  1.00791097213626E+06
1.283265739797809886E+02  8.64416953213083E+34  1.00789780423397E+06
1.322843994381061918E+02  8.66384124526073E+34  1.00788494867322E+06
1.366400197077319376E+02  8.68645906442862E+34  1.00787233593558E+06
1.414498056765897616E+02  8.71049170423191E+34  1.00785992449142E+06
1.467730625025664324E+02  8.73505603118570E+34  1.00784768585818E+06
1.526753054740760263E+02  8.69112201079422E+34  1.00796151708364E+06
1.555007389567056180E+02  8.67217104735304E+34  1.00794825462282E+06
1.587749507046050894E+02  8.66630059559718E+34  1.00793373036061E+06
1.621650167473648310E+02  8.67366854379436E+34  1.00792009198311E+06
1.658238897403373358E+02  8.69010999204985E+34  1.00790689106919E+06
1.698267051586702792E+02  8.71203360233693E+34  1.00789398813058E+06
1.742341087642033983E+02  8.73686578195474E+34  1.00788130847727E+06
1.791034514698335158E+02  8.76293842036977E+34  1.00786880695821E+06
1.844944772677806384E+02  8.78928783149395E+34  1.00785645296456E+06
1.904725498634819871E+02  8.75784675492027E+34  1.00797087720291E+06
1.933622966326970527E+02  8.71852151631387E+34  1.00795736193581E+06
1.966555832544305815E+02  8.71080036023963E+34  1.00794279020057E+06
2.000643692913635903E+02  8.72774836967205E+34  1.00792910130767E+06
2.037421712727746694E+02  8.75821079314605E+34  1.00791585263037E+06
2.077666271038009427E+02  8.79467071984496E+34  1.00790289778835E+06
2.122002839908042517E+02  8.83270334501453E+34  1.00789015357790E+06
2.171010327747698341E+02  8.86993729956835E+34  1.00787757100546E+06
2.225287753501186785E+02  8.90526384524296E+34  1.00786511720650E+06
2.285487772291339468E+02  8.82850391195924E+34  1.00797989538431E+06
2.314709629255319783E+02  8.77083172627617E+34  1.00796622496528E+06
2.347739676785769234E+02  8.75723413129378E+34  1.00795159029173E+06
2.381907442664172834E+02  8.77828774574355E+34  1.00793784376151E+06
2.418761892963553066E+02  8.81805279220665E+34  1.00792454167853E+06
2.459096803613785198E+02  8.86571103592655E+34  1.00791153223044E+06
2.503549989951112877E+02  8.91492845192371E+34  1.00789872675926E+06
2.552707631743526520E+02  8.96237175736516E+34  1.00788607186638E+06
2.607171613502322884E+02  8.94211054952167E+34  1.00799548221623E+06
2.630943095744837024E+02  8.89716914604385E+34  1.00798316771036E+06
2.661917052916371063E+02  8.87762511121748E+34  1.00796809249404E+06
2.693983829108061627E+02  8.89275953590234E+34  1.00795402100169E+06
2.728701851829909515E+02  8.92918859187923E+34  1.00794041432335E+06
2.766743262193418218E+02  8.97587809067501E+34  1.00792714000327E+06
2.808700658966370725E+02  9.02568554898908E+34  1.00791410398787E+06
2.855124744049306855E+02  9.07455620807302E+34  1.00790124580151E+06
2.906580759712700797E+02  9.12044376747593E+34  1.00788852266958E+06
2.963683684071445441E+02  9.03652262963314E+34  1.00800104536645E+06
2.990064827405471988E+02  8.96447828509198E+34  1.00798792832697E+06
3.022015556912810439E+02  8.93317103372924E+34  1.00797291177857E+06
3.055009197420489500E+02  8.94664685384208E+34  1.00795887299931E+06
3.090642044157093551E+02  8.98721857651784E+34  1.00794530095944E+06
3.129656666986624600E+02  9.04108612573230E+34  1.00793204905961E+06
3.172679233746687260E+02  9.09926392613236E+34  1.00791902065257E+06
3.220288120227311879E+02  9.15658724731920E+34  1.00790615246829E+06
3.273070391050300714E+02  9.21040475631347E+34  1.00789339988580E+06
3.331657300401654425E+02  9.09281318471208E+34  1.00800722542402E+06
3.359324810405575477E+02  9.00662783672379E+34  1.00799374784323E+06
3.391770998797337597E+02  8.96925565412602E+34  1.00797876896467E+06
3.425256271171098206E+02  8.98260190849019E+34  1.00796474427515E+06
3.461382636986938337E+02  9.02720354390281E+34  1.00795118277099E+06
3.500926088167206558E+02  9.08769118943301E+34  1.00793793316337E+06
3.544531832741882909E+02  9.15385261918975E+34  1.00792489624970E+06
3.592790958937025039E+02  9.21961198719148E+34  1.00791200789912E+06
3.646304351427334609E+02  9.28167498173399E+34  1.00789922220995E+06
3.705716514608602097E+02  9.14471291140254E+34  1.00801374863599E+06
3.734066337093444758E+02  9.04929148089363E+34  1.00800007382824E+06
3.766776246527225567E+02  9.00691420505760E+34  1.00798509820501E+06
3.800522111659873872E+02  9.01918747133194E+34  1.00797106413703E+06
3.836909223436743446E+02  9.06596448641184E+34  1.00795749097322E+06
3.876731451929326226E+02  9.13102402640035E+34  1.00794422519705E+06
3.920644852368320699E+02  9.20329992696937E+34  1.00793116639786E+06
3.969249610778039710E+02  9.27592653133107E+34  1.00791825000156E+06
4.023159001543322688E+02  9.34512276658117E+34  1.00790542612427E+06
