# time (s)    L (erg/s)   R_phot (cm)
1.000000000000000048E-04  2.40000017003107E+34  1.00784084086436E+06
2.990000000000000036E-04  2.40000050877903E+34  1.00784084053740E+06
6.950100000000000288E-04  2.40000118419586E+34  1.00784083988673E+06
1.483069900000000144E-03  2.40000252735048E+34  1.00784083859182E+06
3.051309101000000343E-03  2.40000520003270E+34  1.00784083601457E+06
6.172105110990000823E-03  2.40001052294226E+34  1.00784083088438E+06
1.238248917087010278E-02  2.40002112488324E+34  1.00784082066956E+06
2.474115345003150349E-02  2.40004226744753E+34  1.00784080031953E+06
4.933489536556269484E-02  2.40008450683334E+34  1.00784075973532E+06
9.827644177746976129E-02  2.40016917844805E+34  1.00784067863824E+06
1.956701191371648108E-01  2.40033861281603E+34  1.00784051601787E+06
3.894835370829580201E-01  2.40066789148838E+34  1.00784018809342E+06
7.751722387950864546E-01  2.40125190174348E+34  1.00783952208018E+06
1.542692755202222044E+00  2.40218059872874E+34  1.00783816225096E+06
3.070058582852421836E+00  2.40373868501133E+34  1.00783539613613E+06
6.109516579876319575E+00  2.40707329122213E+34  1.00782988573851E+06
1.215803799395387585E+01  2.41525550098628E+34  1.00781940791474E+06
2.058202883758006152E+01  2.42820459355774E+34  1.00780624674617E+06
2.953579810791035953E+01  2.44235765113026E+34  1.00779394829322E+06
3.937921026366866073E+01  2.45736093067505E+34  1.00778210931520E+06
5.025986750394328340E+01  2.47283422570230E+34  1.00777067185502E+06
6.233832797298207851E+01  2.48864913476458E+34  1.00775957335576E+06
7.578146832536396005E+01  2.50482118147831E+34  1.00774876110759E+06
9.076680677125254704E+01  2.52147635233154E+34  1.00773818739818E+06
1.074848455888626546E+02  2.53878315672589E+34  1.00772781265181E+06
1.261447835956951593E+02  2.55690894500319E+34  1.00771760629489E+06
1.469877301843067983E+02  2.54066122671845E+34  1.00781339128542E+06
1.555805648827766845E+02  2.53726050325900E+34  1.00780377793636E+06
1.671453534114586148E+02  2.54115791486742E+34  1.00779137339218E+06
1.790201099898273753E+02  2.55035093586272E+34  1.00777982203075E+06
1.919200544358033369E+02  2.56270921803418E+34  1.00776858544248E+06
2.060897947867732967E+02  2.57681037635154E+34  1.00775760617617E+06
2.217598420035064350E+02  2.59197353566606E+34  1.00774683557246E+06
2.391549170533976110E+02  2.60795823945892E+34  1.00773623939204E+06
2.585139697677700497E+02  2.62476372162689E+34  1.00772578697231E+06
2.800976651602506990E+02  2.58811885300150E+34  1.00782328115366E+06
2.892142332635782509E+02  2.58374181429930E+34  1.00781322843989E+06
3.009521382523195143E+02  2.58730433236794E+34  1.00780080916459E+06
3.130181528172983008E+02  2.59657754040066E+34  1.00778921233670E+06
3.261347027624975681E+02  2.60915282556108E+34  1.00777789732579E+06
3.405498526250966620E+02  2.62343884579083E+34  1.00776680360678E+06
3.564918003425943880E+02  2.63869768335479E+34  1.00775588585771E+06
3.741832249774016645E+02  2.65464949672830E+34  1.00774511562265E+06
3.938645962405593650E+02  2.64290970311411E+34  1.00783823920097E+06
4.018450094123722920E+02  2.63502281430821E+34  1.00782852734296E+06
4.128601139024987674E+02  2.63526414661451E+34  1.00781586534677E+06
4.242819393219730841E+02  2.64178632773207E+34  1.00780404303682E+06
4.367580544724303309E+02  2.65193001141731E+34  1.00779251176686E+06
4.505076903450654413E+02  2.66407380947410E+34  1.00778120468640E+06
4.657379338476641806E+02  2.67740457464037E+34  1.00777007326597E+06
4.826530156461693082E+02  2.69159943389170E+34  1.00775908436931E+06
5.014711809705639780E+02  2.70652155989820E+34  1.00774821578632E+06
5.224466013318905198E+02  2.66876261504378E+34  1.00784474200861E+06
5.313093375737768156E+02  2.66024910163724E+34  1.00783445847772E+06
5.427413267090234967E+02  2.66089264542897E+34  1.00782183130048E+06
5.545481562110792311E+02  2.66816620857335E+34  1.00781003920804E+06
5.674270847690243045E+02  2.67920684208405E+34  1.00779851670769E+06
5.816168802699606886E+02  2.69225691763177E+34  1.00778718712422E+06
5.973321599521991629E+02  2.70645230879628E+34  1.00777600193086E+06
6.147819024317066123E+02  2.72143604649537E+34  1.00776493132682E+06
6.341908951080165480E+02  2.71406659837057E+34  1.00785750232035E+06
6.420477385195813440E+02  2.70354167177305E+34  1.00784761860440E+06
6.528952614455638468E+02  2.70562624604763E+34  1.00783478327500E+06
6.641717184960170925E+02  2.71571596792496E+34  1.00782279952489E+06
6.765132432028847234E+02  2.72932106309268E+34  1.00781110338603E+06
6.901380671689190649E+02  2.74427566991436E+34  1.00779961319842E+06
7.052473150906015462E+02  2.75968886094271E+34  1.00778827493654E+06
7.220381122596269279E+02  2.77528587635669E+34  1.00777705333279E+06
7.407218906040139927E+02  2.79106686397665E+34  1.00776592373927E+06
7.615409267089703462E+02  2.74353265954896E+34  1.00786234390588E+06
7.703469620208145443E+02  2.72675933792547E+34  1.00785186848848E+06
7.816632982971384536E+02  2.73086833234870E+34  1.00783908570697E+06
7.933641976692450726E+02  2.74579876382568E+34  1.00782715783500E+06
8.061449661133253812E+02  2.76460803207604E+34  1.00781550170324E+06
8.202472194984842417E+02  2.78421033957362E+34  1.00780402532256E+06
8.358831971236708114E+02  2.80350210822768E+34  1.00779267170006E+06
8.532555750650599293E+02  2.82227370622103E+34  1.00778140794845E+06
8.725817538154735757E+02  2.78500034564678E+34  1.00787386983531E+06
8.804020487224581757E+02  2.76989434660039E+34  1.00786385067813E+06
8.911777587536230385E+02  2.77323731782032E+34  1.00785088006305E+06
9.023848187400487859E+02  2.78819165339477E+34  1.00783877747279E+06
9.146603008369775125E+02  2.80751176479864E+34  1.00782696483246E+06
9.282251051313520520E+02  2.82773674671675E+34  1.00781535031198E+06
9.432800511879449914E+02  2.84756923373716E+34  1.00780387254846E+06
9.600203837881699656E+02  2.86675002011291E+34  1.00779249199113E+06
9.786528808448681502E+02  2.88538335971809E+34  1.00778118210398E+06
9.994138492293417357E+02  2.81320351386252E+34  1.00787767613875E+06
1.008196357894221933E+03  2.78916343112593E+34  1.00786706297624E+06
