# time (s)    L (erg/s)   R_phot (cm)
1.000000000000000048E-04  3.20000001452079E+33  1.00773394696096E+06
2.990000000000000036E-04  3.20000004080755E+33  1.00773394692484E+06
6.950100000000000288E-04  3.20000008201836E+33  1.00773394685298E+06
1.483069900000000144E-03  3.20000017221154E+33  1.00773394670996E+06
3.051309101000000343E-03  3.20000035294950E+33  1.00773394642535E+06
6.172105110990000823E-03  3.20000071714466E+33  1.00773394585895E+06
1.238248917087010278E-02  3.20000145041618E+33  1.00773394473167E+06
2.474115345003150349E-02  3.20000288940057E+33  1.00773394248786E+06
4.933489536556269484E-02  3.20000577704874E+33  1.00773393802064E+06
9.827644177746976129E-02  3.20001160344397E+33  1.00773392912281E+06
1.956701191371648108E-01  3.20002347848290E+33  1.00773391138466E+06
3.894835370829580201E-01  3.20004760686282E+33  1.00773387596477E+06
7.751722387950864546E-01  3.20009288793953E+33  1.00773380502621E+06
1.542692755202222044E+00  3.20015866616776E+33  1.00773366224472E+06
3.070058582852421836E+00  3.20019673394869E+33  1.00773337285428E+06
6.109516579876319575E+00  3.20005240518942E+33  1.00773278233986E+06
1.215803799395387585E+01  3.19950878570197E+33  1.00773157649285E+06
2.419459560796821407E+01  3.19924456309644E+33  1.00772914472112E+06
4.814734525985674907E+01  3.20372547644549E+33  1.00772438483573E+06
9.581331706711492302E+01  3.22423166916205E+33  1.00771553444250E+06
1.610971889253927429E+02  3.26170696234835E+33  1.00770477750913E+06
2.318282533981194433E+02  3.30722478800155E+33  1.00769460224006E+06
3.104182699096914462E+02  3.36021954795742E+33  1.00768471093434E+06
3.977919024552385849E+02  3.42049541244927E+33  1.00767506389247E+06
4.949889221007819629E+02  3.48836576773987E+33  1.00766561728110E+06
6.030764065790941686E+02  3.56437984282530E+33  1.00765633911589E+06
7.232381169318944103E+02  3.64820525615839E+33  1.00764722009696E+06
8.571364480719498715E+02  3.73906240107606E+33  1.00763823324219E+06
1.006684601219184060E+03  3.83674075956091E+33  1.00762934359972E+06
1.159088713621851412E+03  3.42924187568781E+33  1.00771029352060E+06
1.193091551935825919E+03  3.37139358339272E+33  1.00770700688388E+06
1.260401080762182119E+03  3.35197752037448E+33  1.00769958456535E+06
1.356540163203030716E+03  3.39458609438843E+33  1.00768914968655E+06
1.454202331459798188E+03  3.46259577269452E+33  1.00767944100247E+06
1.560582674514573682E+03  3.54451820230121E+33  1.00766989661264E+06
1.677431719360498846E+03  3.63578666387635E+33  1.00766049962498E+06
1.806590767482258343E+03  3.73282299738659E+33  1.00765124685719E+06
1.950405762409996214E+03  3.83580776742562E+33  1.00764206793887E+06
2.110660387898168665E+03  3.46498222256854E+33  1.00771908659952E+06
2.148236654796661696E+03  3.41205714363434E+33  1.00771517334083E+06
2.223013425924662442E+03  3.40392422936797E+33  1.00770673692342E+06
2.317866690611280319E+03  3.45064577241029E+33  1.00769649322723E+06
2.417007922420956220E+03  3.52091355739741E+33  1.00768671674650E+06
2.525387259235251804E+03  3.60494376652718E+33  1.00767706607709E+06
2.644650682765611236E+03  3.69858834685016E+33  1.00766752855008E+06
2.776583204527039925E+03  3.79835544956535E+33  1.00765810324470E+06
2.923468168356220758E+03  3.49897131044756E+33  1.00773087464976E+06
2.960963424754302196E+03  3.45282533384224E+33  1.00772648034745E+06
3.035578984986484102E+03  3.44902505639172E+33  1.00771746029892E+06
3.126016676489998190E+03  3.49223512551282E+33  1.00770721833590E+06
3.222267297708008300E+03  3.55802155629062E+33  1.00769732031688E+06
3.327897084574299242E+03  3.63793748317632E+33  1.00768752830631E+06
3.444362004610365148E+03  3.72833808931117E+33  1.00767782642033E+06
3.573206869028027995E+03  3.82609902021471E+33  1.00766821757332E+06
3.716504574829767535E+03  3.93032743548159E+33  1.00765865561243E+06
3.876144839672793296E+03  3.55457728088794E+33  1.00773559750028E+06
3.915327983022662011E+03  3.49670284950088E+33  1.00773136327377E+06
3.993302438288900703E+03  3.48322751907909E+33  1.00772242957452E+06
4.087445156695936930E+03  3.52387313524487E+33  1.00771221080321E+06
4.187192176659084907E+03  3.59130089257902E+33  1.00770230616570E+06
4.296465059031776036E+03  3.67489217620917E+33  1.00769246762269E+06
4.416770904625503135E+03  3.77024289987481E+33  1.00768268625508E+06
4.549735926857608320E+03  3.87293475075972E+33  1.00767297723724E+06
4.697641912683338887E+03  3.54976253278476E+33  1.00774590874343E+06
4.736422355318455629E+03  3.50751188419010E+33  1.00774127588544E+06
