# time luminosity u_luminosity radius u_radius
-8.526138585730222985e+00 3.753892397607294478e+36 3.364789705734353019e+36 1.008482629280595691e+06 1.625382872673905581e+02
-8.509804380038985983e+00 3.598009613225102135e+36 2.998289281471348740e+36 1.008488233858504449e+06 1.642025993587038499e+02
-8.477299310703529045e+00 4.561155309613731776e+36 3.989576358080033314e+36 1.008506143632248626e+06 1.619039155158829146e+02
-8.472521221701754257e+00 4.816373772392686535e+36 4.776518770163282866e+36 1.008508416105294367e+06 1.621533239675970890e+02
-8.463012824591714889e+00 4.917146451870098850e+36 5.207759185240713043e+36 1.008512517382153193e+06 1.629873003763937902e+02
-8.444091114346520044e+00 4.347465688653439712e+36 3.717545020609789268e+36 1.008519669459016761e+06 1.652498668367282164e+02
-8.408317412118776701e+00 3.785362915503125556e+36 2.531080509959740525e+36 1.008531820177276968e+06 1.701734268696350227e+02
-8.383366499649127945e+00 3.643736496631585658e+36 2.324607691239793623e+36 1.008540048154958175e+06 1.735767581901911285e+02
-8.364395186523324810e+00 3.583278334972555211e+36 2.258329764359424587e+36 1.008546385139112826e+06 1.759853746132353933e+02
-8.348057973824325018e+00 3.565383630398027167e+36 2.229344386710441284e+36 1.008552108193722321e+06 1.777913307928283757e+02
-8.346815928409341723e+00 3.562103436871518633e+36 2.232989810161133772e+36 1.008552561493468122e+06 1.779075821671620758e+02
-8.344344258046476170e+00 3.561322150681671854e+36 2.232072472465381814e+36 1.008553466647860478e+06 1.781347046292601988e+02
-8.339425634025246836e+00 3.560408251031035720e+36 2.227267685350990335e+36 1.008555349187004846e+06 1.785046954118432154e+02
-8.330954811623087153e+00 3.556657215570539506e+36 2.225848119915563708e+36 1.008559125074185664e+06 1.785354017486615703e+02
-8.328931878204457462e+00 3.556767249802944067e+36 2.225234773936857609e+36 1.008560128001750913e+06 1.784334357491700587e+02
-8.326184376128367148e+00 3.559579583426668296e+36 2.225118326369908200e+36 1.008561568822905538e+06 1.782134666614348930e+02
-8.321120896245702170e+00 3.565971104738614541e+36 2.227160683384343942e+36 1.008564565240896656e+06 1.774693980693959077e+02
-8.314978535607224330e+00 3.574495107418723208e+36 2.229355970874228899e+36 1.008568789033016888e+06 1.760539847378068430e+02
-8.310585073195397854e+00 3.580391568020252830e+36 2.230528424404070277e+36 1.008572022726201802e+06 1.749011617067998827e+02
-8.306978136504767463e+00 3.585121190828656120e+36 2.232017558015035427e+36 1.008575175706402515e+06 1.735260023006962058e+02
-8.304856405593454838e+00 3.585946549611567325e+36 2.238532612334525162e+36 1.008576941214667051e+06 1.727596727450292917e+02
-8.304194974145502783e+00 3.588027726927337376e+36 2.237931480488677810e+36 1.008577479282867280e+06 1.725308342408873727e+02
-8.303875320954830386e+00 3.590024696379117355e+36 2.236207880455480474e+36 1.008577740876795258e+06 1.724196255018914883e+02
-8.303321651983424090e+00 3.593661395879330758e+36 2.232999060074988242e+36 1.008578190486844163e+06 1.722270696648697026e+02
-8.302219850724213757e+00 3.727066820099982066e+36 2.088082291498845281e+36 1.008579085969090695e+06 1.718277008834427875e+02
-8.301272719618282281e+00 3.875686819698852904e+36 2.037421674063921893e+36 1.008579864694848773e+06 1.714703288984854623e+02
-8.300656040883040987e+00 4.097058787754205340e+36 2.192379784664739053e+36 1.008580368597274530e+06 1.712358021033289504e+02
-8.299907152933883481e+00 4.369231007423895488e+36 2.685453647226707850e+36 1.008580990203626920e+06 1.709319459644067649e+02
-8.299252208409598097e+00 4.607880186858229148e+36 3.281734812557742485e+36 1.008581542677780380e+06 1.706532652419446947e+02
-8.298636138191795908e+00 4.666444460929023451e+36 3.440612322995527020e+36 1.008582069011335494e+06 1.703824240900314066e+02
-8.298050388912088238e+00 4.752447763386218579e+36 3.681565924642221783e+36 1.008582596866766689e+06 1.700830641744352079e+02
-8.297486680545262061e+00 5.079091757134078450e+36 4.662190330102835915e+36 1.008583113587652217e+06 1.697808731429792317e+02
-8.297133914122241549e+00 5.209137581567863200e+36 5.068792581705173421e+36 1.008583436719878460e+06 1.695928274647397416e+02
-8.296563346593757160e+00 5.107699096472375930e+36 4.745628347123124482e+36 1.008583962772059720e+06 1.692819874659155062e+02
-8.296038745727855712e+00 5.005576895466429357e+36 4.425616688019460447e+36 1.008584443703386816e+06 1.689979024213787682e+02
-8.295512499695178121e+00 4.972424183597684594e+36 4.320801388623245303e+36 1.008584920791796059e+06 1.687164862366945499e+02
-8.294977173834922723e+00 4.949318341450005212e+36 4.247266170730632480e+36 1.008585408775365562e+06 1.684268364890958196e+02
-8.294434413342969492e+00 4.925724515325558034e+36 4.173290019051236425e+36 1.008585921978139086e+06 1.681078799810504734e+02
-8.293897236202610657e+00 4.934474935055186644e+36 4.197023016502469796e+36 1.008586422339538927e+06 1.677990675709915251e+02
-8.293304105100105517e+00 4.956803078873622370e+36 4.260685858569136794e+36 1.008586972244274453e+06 1.674616179301517889e+02
-8.292683812120230868e+00 4.979448214426374764e+36 4.328306871933288676e+36 1.008587550798692973e+06 1.671066979570784952e+02
-8.292280760550056584e+00 4.993718236146163461e+36 4.372867086660076420e+36 1.008587931613303837e+06 1.668701423873941962e+02
-8.292103331536054611e+00 5.000226261181625284e+36 4.392276530331931220e+36 1.008588097108443151e+06 1.667691938959787024e+02
-8.291750247779418714e+00 5.016040138840375346e+36 4.438418837739504818e+36 1.008588427189066424e+06 1.665669299222835207e+02
