# model,burst,bstart,btime,fluence,peakLum,persLum,tau,tdel,conv,t10,t25,t90,fitAlpha,fitDecay,alpha
'xrba003',13,1914328361504363.5,252.25,6.0238050060538014e+39,1.1168802250462099e+38,2.7910654261579798e+35,53.934207724060755,10791.0,3.6316376584519245,-7.25,-6.25,-2.0,0.72994047885178515,31.098319100233333,37.178753873389702
'xrba003',14,1914328361517023.2,291.75,6.5169762530778644e+39,1.00034065057155e+38,2.5700137025200401e+35,65.147569973831963,12660.75,3.5729775708493312,-7.25,-6.25,-2.0,0.67392263825479781,35.734714653005419,40.276759674312402
'xrba004',0,216572.77566089932,246.08337545467657,2.043197669283825e+40,2.8860086517421601e+38,9.2317040143516395e+34,70.79665780109265,0,7.5018402127086512,-9.9339823575865012,-9.1968067932175472,-4.2585006436274853,0.72188471238980512,30.894154231358794,0.0
'xrba004',1,422711.80500653136,222.05039480363484,1.9897771830251879e+40,2.8801602654635499e+38,6.4530941379063804e+34,69.085641062579597,206148.59194567616,8.1530095564813596,-10.867103359603789,-10.102966766688041,-5.2306252208072692,0.70768833384434471,37.177672572087701,43.094345137483273
'xrba004',2,620385.57705590292,212.17909509292804,1.8986944864841719e+40,2.9084421947468401e+38,6.9788716534673395e+34,65.282180609040438,197665.74357700639,8.2951120488287504,-10.589359598816372,-9.865876566269435,-5.0197370466776192,0.72622507258319313,35.303578695804198,43.358005427157757
'xrba004',3,811301.69168457633,205.06244464812335,1.8411761756314487e+40,3.0625336140695199e+38,7.50268007492052e+34,60.119378516302348,190915.69216618233,6.9985436746076761,-9.6331030352739617,-8.8676958341384307,-4.1287952105049044,0.72663310977017037,32.772787547860588,43.239944311332792
'xrba005',0,12462.646252251247,100.01317326098251,4.6859794193466658e+39,1.84397387747341e+38,4.8477889932216998e+35,25.412395894497902,0,8.4180198441725427,-6.8593220571074198,-6.3460947738440154,-2.0082065771894122,1.0493597274627184,19.623415375679222,0.0
'xrba005',1,22048.703464025777,107.46711731222968,4.393531784095018e+39,1.46012306771523e+38,4.1336672913239903e+35,30.090147065273918,9593.654792685762,12.905985162480947,-6.9871546598296845,-6.4878258706085035,-1.9151141165129957,0.89558966158390807,27.1190179381782,45.61154657120489
'xrba005',2,31854.552620428447,109.04265441909229,4.4190343316621548e+39,1.52730212568936e+38,4.8471041843493003e+35,28.933596420338827,9798.2007950568841,11.20550844097845,-6.8720416029100306,-6.2790041027074039,-1.6707295178312052,0.96867163952410573,19.860585229285086,46.47337763697012
'xrba005',3,41554.84964572842,109.49409861067397,4.3835241810023085e+39,1.47561049987883e+38,4.6785310817527198e+35,29.706512534047853,9700.5112958843565,11.438754127465096,-7.0714209850557381,-6.5105368114091107,-1.9298221320423181,0.93524748226461885,23.891051672906013,46.345445982562957
