# time luminosity radius
-2.982301553891738877e+01 6.453094137906380419e+34 1.008285263473890023e+06
-1.981970150896813720e+01 6.578656814723090175e+34 1.008285868008960038e+06
-1.868018264550482854e+01 6.593527946519070381e+34 1.008285962128540035e+06
-1.641254010720876977e+01 6.623775106781579862e+34 1.008286164772529970e+06
-1.537501530291046947e+01 6.638371964584260191e+34 1.008286278843860026e+06
-1.331034094229107723e+01 6.667123817142430355e+34 1.008286596058420022e+06
-1.331033683358691633e+01 6.667028089596389686e+34 1.008286597265159944e+06
-1.331032865727320313e+01 6.667022453345380346e+34 1.008286599634120008e+06
-1.331031238642754033e+01 6.667022676620529708e+34 1.008286603448690032e+06
-1.331029391585616395e+01 6.667023643140480131e+34 1.008286611147389980e+06
-1.331028632662491873e+01 6.667023400056860039e+34 1.008286614678579965e+06
-1.331027941434876993e+01 6.667019312202090444e+34 1.008286615435429965e+06
-1.331026565888896585e+01 6.667022982283459934e+34 1.008286616139170015e+06
-1.331023828557226807e+01 6.667023586461969832e+34 1.008286617901319987e+06
-1.331018381263129413e+01 6.667024235592809873e+34 1.008286622124499991e+06
-1.331014224200043827e+01 6.667024767914919759e+34 1.008286628121020040e+06
-1.331011548312380910e+01 6.667025056116449814e+34 1.008286633576650056e+06
-1.331009343103505671e+01 6.667025232306679688e+34 1.008286639159630053e+06
-1.331007308867992833e+01 6.667025382490100394e+34 1.008286645388299949e+06
-1.331005408446071669e+01 6.667025527658989549e+34 1.008286652422770043e+06
-1.331003606953890994e+01 6.667025607444719734e+34 1.008286660307190032e+06
-1.331001851893961430e+01 6.667025666335419846e+34 1.008286669304869953e+06
-1.331000117294024676e+01 6.667025640662300287e+34 1.008286679408330005e+06
-1.330998337228083983e+01 6.667025495385259716e+34 1.008286690524330013e+06
-1.330996602616505697e+01 6.667025351875740044e+34 1.008286701604090049e+06
-1.330994955165078864e+01 6.667025248142830395e+34 1.008286712073149974e+06
-1.330993288784520701e+01 6.667025243140860156e+34 1.008286722688789945e+06
-1.330991576920496300e+01 6.667025298741519820e+34 1.008286734051479958e+06
-1.330989837611559778e+01 6.667025423927139665e+34 1.008286746909869951e+06
-1.330988139414694160e+01 6.667025628730229564e+34 1.008286762155779987e+06
-1.330986664281226695e+01 6.667026235540829742e+34 1.008286780030149966e+06
-1.330985309579409659e+01 6.667027365036980070e+34 1.008286804368839948e+06
-1.330985212937230244e+01 6.667023059082619826e+34 1.008286806123520015e+06
-1.330985020619118586e+01 6.667016064814360231e+34 1.008286809246400022e+06
-1.330984637903748080e+01 6.667026545516439945e+34 1.008286815591649967e+06
-1.330983876303071156e+01 6.667035296667400332e+34 1.008286837835720042e+06
-1.330983813002239913e+01 6.667035304923359624e+34 1.008286839755009976e+06
-1.330983687035040930e+01 6.667033697457219794e+34 1.008286843834899948e+06
-1.330983436363749206e+01 6.667043615159340193e+34 1.008286853607740020e+06
-1.330983387219021097e+01 6.667046143157589557e+34 1.008286855593799963e+06
-1.330983289418509230e+01 6.667052807614849807e+34 1.008286859909669962e+06
-1.330983094789553434e+01 6.667069454181279963e+34 1.008286870913909981e+06
-1.330983058386482298e+01 6.667072692196809809e+34 1.008286873063149978e+06
-1.330982985947048292e+01 6.667080173718130140e+34 1.008286877756929956e+06
-1.330982841795776039e+01 6.667107135013469539e+34 1.008286889439180028e+06
-1.330982815066818148e+01 6.667112499049730109e+34 1.008286891690679942e+06
-1.330982761876657605e+01 6.667126102834920086e+34 1.008286896554209990e+06
-1.330982656026026234e+01 6.667176238455180270e+34 1.008286908388409996e+06
-1.330982637085253373e+01 6.667186055700759662e+34 1.008286910579120042e+06
-1.330982599389972165e+01 6.667209540446520343e+34 1.008286915265429998e+06
-1.330982524377759546e+01 6.667284670670460278e+34 1.008286926347099943e+06
-1.330982392805162817e+01 6.667733667453279866e+34 1.008286959425149951e+06
-1.330982392036821693e+01 6.667734857477019666e+34 1.008286959618589957e+06
-1.330982391966972500e+01 6.667735107040189586e+34 1.008286959636510001e+06
-1.330982391955330968e+01 6.667735141450189812e+34 1.008286959639140056e+06
-1.330982391932047904e+01 6.667735213199250065e+34 1.008286959644360002e+06
-1.330982391891302541e+01 6.667735355946909983e+34 1.008286959654759965e+06
-1.330982391809811816e+01 6.667735643525549754e+34 1.008286959675449994e+06
-1.330982391646830365e+01 6.667736214956180242e+34 1.008286959716659971e+06
-1.330982391320867464e+01 6.667737365813550449e+34 1.008286959798750002e+06
-1.330982390674762428e+01 6.667739682255619775e+34 1.008286959962429944e+06
-1.330982389388373122e+01 6.667744398360399641e+34 1.008286960289480048e+06
-1.330982386827236041e+01 6.667753988923709584e+34 1.008286960945629980e+06
-1.330982381728244945e+01 6.667773133997479742e+34 1.008286962272910052e+06
-1.330982371588470414e+01 6.667812089055419883e+34 1.008286965003759949e+06
-1.330982351407874376e+01 6.667898814923739666e+34 1.008286970830240054e+06
-1.330982311244588345e+01 6.668137175964270098e+34 1.008286984355330002e+06
-1.330982231313828379e+01 6.668201164893330215e+34 1.008287022356829955e+06
-1.330982085486175492e+01 6.666603819887849557e+34 1.008287103609489975e+06
-1.330981940723722801e+01 6.665781315039690416e+34 1.008287152503150050e+06
-1.330981782102026045e+01 6.666186815196109701e+34 1.008287156581089948e+06
-1.330981603398686275e+01 6.666905787342809971e+34 1.008287140750130056e+06
-1.330981388816144317e+01 6.667231410952819589e+34 1.008287142026499962e+06
-1.330981109337881207e+01 6.667148640470160184e+34 1.008287171796850045e+06
-1.330980716092744842e+01 6.667009836939750350e+34 1.008287214579210035e+06
-1.330980414961231872e+01 6.666967952303019826e+34 1.008287239780780044e+06
-1.330980128428200260e+01 6.666969938883240434e+34 1.008287257766240044e+06
-1.330979837878840044e+01 6.666982132396999674e+34 1.008287272084200056e+06
-1.330979528394527733e+01 6.666990895346570435e+34 1.008287284417649964e+06
-1.330979191622463986e+01 6.666995131113059883e+34 1.008287295078539988e+06
-1.330978804727783427e+01 6.666998438281189587e+34 1.008287304306130041e+06
-1.330978334893006831e+01 6.667001787650680034e+34 1.008287312104439945e+06
-1.330977710435399786e+01 6.667005648437459685e+34 1.008287318616020028e+06
-1.330976776644820347e+01 6.667008959675239969e+34 1.008287323836039985e+06
-1.330974969861563295e+01 6.667011535357250085e+34 1.008287328144100029e+06
-1.330971374368527904e+01 6.667012966864959982e+34 1.008287332382390043e+06
-1.330964219337329268e+01 6.667014022885990059e+34 1.008287338993269950e+06
-1.330949980823788792e+01 6.667015781692369895e+34 1.008287349597800057e+06
-1.330934177146991715e+01 6.667017770195310318e+34 1.008287359313469962e+06
-1.330916681035887450e+01 6.667020008886740382e+34 1.008287368587290053e+06
-1.330895570165012032e+01 6.667022740557249961e+34 1.008287378360209987e+06
-1.330868917290354148e+01 6.667026229305310047e+34 1.008287389065399999e+06
-1.330834010674152523e+01 6.667030851345509904e+34 1.008287400948839961e+06
-1.330789844290120527e+01 6.667036773504399588e+34 1.008287413241639966e+06
-1.330723778251558542e+01 6.667045727951709672e+34 1.008287427716330043e+06
-1.330655090959044173e+01 6.667055126149370207e+34 1.008287439492210047e+06
-1.330518789537018165e+01 6.667073907687890203e+34 1.008287456198410015e+06
-1.330402166006388143e+01 6.667090114512020354e+34 1.008287466993969982e+06
-1.330241833202308044e+01 6.667112458374720300e+34 1.008287477711149957e+06
-1.329999917949317023e+01 6.667146292014080113e+34 1.008287489149729954e+06
-1.329678171203704551e+01 6.667191409139550228e+34 1.008287500103530008e+06
-1.329674219072330743e+01 6.667192289678350304e+34 1.008287507875969983e+06
-1.329669498110888526e+01 6.667192353280880118e+34 1.008287514503650018e+06
-1.329667704581515864e+01 6.667193023267770418e+34 1.008287519028519979e+06
-1.329666481848107651e+01 6.667192890213669752e+34 1.008287522606640006e+06
-1.329665274557191879e+01 6.667192914182900454e+34 1.008287526515780017e+06
-1.329664038593182340e+01 6.667192996040350340e+34 1.008287530955450027e+06
-1.329662764421664178e+01 6.667193080977160408e+34 1.008287536085329950e+06
-1.329661456675967202e+01 6.667193091598829772e+34 1.008287541845569969e+06
-1.329660070611862466e+01 6.667193159385669593e+34 1.008287548623890034e+06
-1.329658620478585362e+01 6.667193187295159878e+34 1.008287556521769962e+06
-1.329657098761526868e+01 6.667193021183680331e+34 1.008287565173469950e+06
-1.329655376146547496e+01 6.667192931199920405e+34 1.008287575081579969e+06
-1.329653610667446628e+01 6.667192893702920278e+34 1.008287585227390053e+06
-1.329651822498999536e+01 6.667192949266810047e+34 1.008287595807029982e+06
-1.329650023585418239e+01 6.667193020494169630e+34 1.008287607248369954e+06
-1.329648251325124875e+01 6.667193128293999741e+34 1.008287620082180016e+06
-1.329646563524147496e+01 6.667193436737049835e+34 1.008287635583969997e+06
-1.329645865777274594e+01 6.667197547547380331e+34 1.008287645422150032e+06
-1.329644963511964306e+01 6.667191759451729671e+34 1.008287657698050025e+06
-1.329643908340949565e+01 6.667193961917349645e+34 1.008287675014919951e+06
-1.329643042373936623e+01 6.667202239488830087e+34 1.008287700524810003e+06
-1.329642490652622655e+01 6.667237540268240315e+34 1.008287736493550008e+06
-1.329642461246112362e+01 6.667239483702329890e+34 1.008287738468930009e+06
-1.329642402729950845e+01 6.667240208748029806e+34 1.008287742649500025e+06
-1.329642286285525188e+01 6.667237097713369852e+34 1.008287751970060053e+06
-1.329642054560827091e+01 6.667428030461329981e+34 1.008287786168430001e+06
-1.329642041184706613e+01 6.667438931591950210e+34 1.008287788197260001e+06
-1.329642014566343278e+01 6.667466385559320302e+34 1.008287792471979978e+06
-1.329641961591551080e+01 6.667537098477229554e+34 1.008287802140449989e+06
-1.329641859646653756e+01 6.667959515152239604e+34 1.008287829141380033e+06
-1.329641858988907188e+01 6.667962751173339762e+34 1.008287829316410003e+06
-1.329641858919057995e+01 6.667963029300829867e+34 1.008287829334330047e+06
-1.329641858907416463e+01 6.667963072685269775e+34 1.008287829337180010e+06
-1.329641858884133399e+01 6.667963159987300155e+34 1.008287829342860030e+06
-1.329641858843388036e+01 6.667963338315469851e+34 1.008287829354170011e+06
-1.329641858756076545e+01 6.667963688841009870e+34 1.008287829376669950e+06
-1.329641858587274328e+01 6.667964386940779643e+34 1.008287829421460046e+06
-1.329641858249669895e+01 6.667965777489459825e+34 1.008287829510699958e+06
-1.329641857580281794e+01 6.667968542997699977e+34 1.008287829688649974e+06
-1.329641856253147125e+01 6.667974068540919713e+34 1.008287830044209957e+06
-1.329641853610519320e+01 6.667985253553729824e+34 1.008287830757590011e+06
-1.329641848348546773e+01 6.668008580970579598e+34 1.008287832200850011e+06
-1.329641837876988575e+01 6.668059013754520299e+34 1.008287835171559942e+06
-1.329641817038645968e+01 6.668176285124460023e+34 1.008287841519949958e+06
-1.329641775577329099e+01 6.668509565002589792e+34 1.008287856382100028e+06
-1.329641693067969754e+01 6.668650214721650412e+34 1.008287899893080001e+06
-1.329641609115060419e+01 6.667624039231870276e+34 1.008287958895370015e+06
-1.329641515697585419e+01 6.666131417452069667e+34 1.008288027974699973e+06
-1.329641413583885878e+01 6.665474938846859608e+34 1.008288080259209964e+06
-1.329641290102154016e+01 6.665945806391169777e+34 1.008288093846649979e+06
-1.329641126911155879e+01 6.666890610471989580e+34 1.008288074846590054e+06
-1.329640873899916187e+01 6.667397035156360281e+34 1.008288077102820040e+06
-1.329640651348745450e+01 6.667338789801040405e+34 1.008288104520070017e+06
-1.329640449769794941e+01 6.667184455357679716e+34 1.008288133254340035e+06
-1.329640245990594849e+01 6.667093782675659874e+34 1.008288155725979945e+06
-1.329640028940048069e+01 6.667084783126699709e+34 1.008288171084490023e+06
-1.329639786644838750e+01 6.667117433297690280e+34 1.008288182051719981e+06
-1.329639512795256451e+01 6.667146851021299782e+34 1.008288191153679974e+06
-1.329639184154802933e+01 6.667158849996159956e+34 1.008288199404840008e+06
-1.329638753610197455e+01 6.667164805469059625e+34 1.008288206545219989e+06
-1.329638103913748637e+01 6.667171081109410356e+34 1.008288212289919960e+06
-1.329636848671361804e+01 6.667176609037289582e+34 1.008288216818940011e+06
-1.329634350736159831e+01 6.667179293915259644e+34 1.008288221115399967e+06
-1.329629379842663184e+01 6.667180320712930090e+34 1.008288228003490018e+06
-1.329619487765012309e+01 6.667181457638219747e+34 1.008288239641790045e+06
-1.329599802527809516e+01 6.667183764469050261e+34 1.008288258434050018e+06
-1.329565936775179580e+01 6.667187894638179820e+34 1.008288284152599983e+06
-1.329522108327364549e+01 6.667193432884580152e+34 1.008288310033780057e+06
-1.329457261052448303e+01 6.667201875096609682e+34 1.008288337862430024e+06
-1.329350892658112571e+01 6.667216092089770343e+34 1.008288368885859963e+06
-1.329176734096836299e+01 6.667239777648569888e+34 1.008288403476490057e+06
-1.329083975037792698e+01 6.667252571672000223e+34 1.008288417422019993e+06
-1.328960206190822646e+01 6.667269691616009788e+34 1.008288431112700026e+06
-1.328738038550363854e+01 6.667300562417879951e+34 1.008288449202249991e+06
-1.328435908415121958e+01 6.667342743151190196e+34 1.008288467274390045e+06
-1.328432468062965199e+01 6.667343628429260429e+34 1.008288474563010037e+06
-1.328427304793149233e+01 6.667343652946129768e+34 1.008288485039909952e+06
-1.328425752790644765e+01 6.667344962363660029e+34 1.008288492461750051e+06
-1.328424881875980645e+01 6.667344099993380087e+34 1.008288497072090046e+06
-1.328423974540783092e+01 6.667343787013890089e+34 1.008288501950250007e+06
-1.328422965732170269e+01 6.667343866645910012e+34 1.008288507578089950e+06
-1.328421856026398018e+01 6.667343868889929681e+34 1.008288514038129942e+06
-1.328420625632861629e+01 6.667343694739549990e+34 1.008288521171309985e+06
-1.328419178607873619e+01 6.667343639982530029e+34 1.008288529351989971e+06
-1.328417428670218214e+01 6.667343598020140399e+34 1.008288538698400022e+06
-1.328415531001519412e+01 6.667343810059270032e+34 1.008288549266200047e+06
-1.328413641807856038e+01 6.667343981484810136e+34 1.008288561238770024e+06
-1.328411884023807943e+01 6.667344115275230115e+34 1.008288574608210009e+06
-1.328410294797504321e+01 6.667344385452060077e+34 1.008288590054490021e+06
-1.328409518260741606e+01 6.667347546907960080e+34 1.008288601197939948e+06
-1.328408600506372750e+01 6.667342862030710336e+34 1.008288614237149945e+06
-1.328407629497814924e+01 6.667346045527670214e+34 1.008288632295190007e+06
-1.328406872996129096e+01 6.667356110537719938e+34 1.008288657467840007e+06
-1.328406388673465699e+01 6.667393790876550422e+34 1.008288690460280050e+06
-1.328406361275119707e+01 6.667396013502299710e+34 1.008288692383080022e+06
-1.328406306752003729e+01 6.667398349424869569e+34 1.008288696451699943e+06
-1.328406198247103021e+01 6.667397382070089607e+34 1.008288705571050057e+06
-1.328405982325784862e+01 6.667564398080899547e+34 1.008288736456220038e+06
-1.328405968932202086e+01 6.667575146721020129e+34 1.008288738423240022e+06
-1.328405942278914154e+01 6.667600670184379884e+34 1.008288742560190032e+06
-1.328405889240093529e+01 6.667669016577210037e+34 1.008288751883420045e+06
-1.328405785816721618e+01 6.668135874634020256e+34 1.008288778726910008e+06
-1.328405785223003477e+01 6.668138233888389887e+34 1.008288778880830039e+06
-1.328405785153154284e+01 6.668138560317610360e+34 1.008288778899520054e+06
-1.328405785141512752e+01 6.668138609859119650e+34 1.008288778902349994e+06
-1.328405785124050453e+01 6.668138700098989559e+34 1.008288778907650034e+06
-1.328405785083305091e+01 6.668138886879819868e+34 1.008288778918200056e+06
-1.328405785001814365e+01 6.668139250085259770e+34 1.008288778939189971e+06
-1.328405784838832915e+01 6.668139983494529903e+34 1.008288778980980045e+06
-1.328405784518690780e+01 6.668141444228940137e+34 1.008288779064240051e+06
-1.328405783884227276e+01 6.668144373926720320e+34 1.008288779230250046e+06
-1.328405782621121034e+01 6.668150272656270307e+34 1.008288779561929987e+06
-1.328405780100729316e+01 6.668162227860069876e+34 1.008288780227249954e+06
-1.328405775089049712e+01 6.668186738780450231e+34 1.008288781572730048e+06
-1.328405765118077397e+01 6.668238928824479825e+34 1.008288784339930047e+06
-1.328405745275085792e+01 6.668359876521470123e+34 1.008288790243890020e+06
-1.328405705792829394e+01 6.668705945154080262e+34 1.008288804019890027e+06
-1.328405640210257843e+01 6.669161257723669860e+34 1.008288835734419990e+06
-1.328405571589246392e+01 6.668709968093170119e+34 1.008288881862669950e+06
-1.328405495261540636e+01 6.667226446471700112e+34 1.008288946733150049e+06
-1.328405405604280531e+01 6.665769531771339540e+34 1.008289021255700034e+06
